timestamp,site_id,instrument_id,,,flow_rate_GPM,temperature_F
2026-05-11 06:00:00,Lake-Ruben,FM-Logup,,,125.3,18.2
2026-05-11 08:00:00,Lake-Ruben,FM-Logup,,,124.8,18.3
2026-05-11 10:00:00,Lake-Ruben,FM-Logup,,,126.1,18.1
2026-05-11 12:00:00,Lake-Ruben,FM-Logup,,,125.5,18.4
2026-05-11 14:00:00,Lake-Ruben,FM-Logup,,,127,18.6
2026-05-11 16:00:00,Lake-Ruben,FM-Logup,,,126.3,68.5
2026-05-11 18:00:00,Lake-Ruben,FM-Logup,,,125.9,18.4
2026-05-11 20:00:00,Lake-Ruben,FM-Logup,,,124.5,18.2
2026-05-11 22:00:00,Lake-Ruben,FM-Logup,,,123.8,18
2026-05-12 00:00:00,Lake-Ruben,FM-Logup,,,125.2,18.3
2026-05-12 02:00:00,Lake-Ruben,FM-Logup,,,126,18.4
2026-05-12 04:00:00,Lake-Ruben,FM-Logup,,,126.8,18.6
2026-05-12 06:00:00,Lake-Ruben,FM-Logup,,,127.5,18.7
2026-05-12 08:00:00,Lake-Ruben,FM-Logup,,,128,18.8
2026-05-12 10:00:00,Lake-Ruben,FM-Logup,,,128.5,19.1
2026-05-12 12:00:00,Lake-Ruben,FM-Logup,,,127.9,18.8
2026-05-12 14:00:00,Lake-Ruben,FM-Logup,,,127.2,18.6
2026-05-12 16:00:00,Lake-Ruben,FM-Logup,,,126.5,18.4
2026-05-12 18:00:00,Lake-Ruben,FM-Logup,,,125.8,18.3
2026-05-12 20:00:00,Lake-Ruben,FM-Logup,,,125.2,18.2
2026-05-12 22:00:00,Lake-Ruben,FM-Logup,,,126,18.4
2026-05-13 00:00:00,Lake-Ruben,FM-Logup,,,126.8,18.5
2026-05-13 02:00:00,Lake-Ruben,FM-Logup,,,127.5,18.7
2026-05-13 04:00:00,Lake-Ruben,FM-Logup,,,128,18.8
2026-05-13 06:00:00,Lake-Ruben,FM-Logup,,,128.5,19
2026-05-13 08:00:00,Lake-Ruben,FM-Logup,,,128.2,18.9
2026-05-13 10:00:00,Lake-Ruben,FM-Logup,,,127.8,18.7
2026-05-13 12:00:00,Lake-Ruben,FM-Logup,,,127.2,18.5
2026-05-13 14:00:00,Lake-Ruben,FM-Logup,,,126.5,18.4
2026-05-13 16:00:00,Lake-Ruben,FM-Logup,,,125.8,18.2
2026-05-13 18:00:00,Lake-Ruben,FM-Logup,,,125.2,18.1
2026-05-13 20:00:00,Lake-Ruben,FM-Logup,,,124.8,18
2026-05-13 22:00:00,Lake-Ruben,FM-Logup,,,124.3,17.9
2026-05-14 00:00:00,Lake-Ruben,FM-Logup,,,124.9,18
2026-05-14 02:00:00,Lake-Ruben,FM-Logup,,,98.2,18.2
2026-05-14 04:00:00,Lake-Ruben,FM-Logup,,,115.5,18.3
2026-05-14 06:00:00,Lake-Ruben,FM-Logup,,,120,18.4
2026-05-14 08:00:00,Lake-Ruben,FM-Logup,,,123.5,18.5
2026-05-14 10:00:00,Lake-Ruben,FM-Logup,,,125,18.6
2026-05-14 12:00:00,Lake-Ruben,FM-Logup,,,126,18.7
2026-05-14 14:00:00,Lake-Ruben,FM-Logup,,,126.5,18.6
2026-05-14 16:00:00,Lake-Ruben,FM-Logup,,,126,18.4
2026-05-14 18:00:00,Lake-Ruben,FM-Logup,,,125.5,18.3
2026-05-14 20:00:00,Lake-Ruben,FM-Logup,,,125,18.2
2026-05-14 22:00:00,Lake-Ruben,FM-Logup,,,125.5,18.3
2026-05-15 00:00:00,Lake-Ruben,FM-Logup,,,126,18.4
2026-05-15 02:00:00,Lake-Ruben,FM-Logup,,,126.5,18.5
2026-05-15 04:00:00,Lake-Ruben,FM-Logup,,,126.2,18.4
2026-05-15 06:00:00,Lake-Ruben,FM-Logup,,,210.5,17.5
2026-05-15 08:00:00,Lake-Ruben,FM-Logup,,,211,17.6
2026-05-15 10:00:00,Lake-Ruben,FM-Logup,,,209.8,17.4
2026-05-15 12:00:00,Lake-Ruben,FM-Logup,,,210.2,17.5
2026-05-15 14:00:00,Lake-Ruben,FM-Logup,,,211.5,17.7
2026-05-15 16:00:00,Lake-Ruben,FM-Logup,,,210.8,17.6
2026-05-15 18:00:00,Lake-Ruben,FM-Logup,,,209.5,17.4
2026-05-15 20:00:00,Lake-Ruben,FM-Logup,,,208.8,17.3
2026-05-15 22:00:00,Lake-Ruben,FM-Logup,,,209.5,17.5
2026-05-16 00:00:00,Lake-Ruben,FM-Logup,,,210.2,17.6
2026-05-16 02:00:00,Lake-Ruben,FM-Logup,,,211,17.7
2026-05-16 04:00:00,Lake-Ruben,FM-Logup,,,211.5,17.8
2026-05-16 06:00:00,Lake-Ruben,FM-Logup,,,212,17.9
2026-05-16 08:00:00,Lake-Ruben,FM-Logup,,,212.5,18
2026-05-16 10:00:00,Lake-Ruben,FM-Logup,,,212,17.8
2026-05-16 12:00:00,Lake-Ruben,FM-Logup,,,211.5,17.7
2026-05-16 14:00:00,Lake-Ruben,FM-Logup,,,211,17.6
2026-05-16 16:00:00,Lake-Ruben,FM-Logup,,,210.5,17.5
2026-05-16 18:00:00,Lake-Ruben,FM-Logup,,,210,17.4
2026-05-16 20:00:00,Lake-Ruben,FM-Logup,,,210.5,17.5
2026-05-16 22:00:00,Lake-Ruben,FM-Logup,,,211,17.6
2026-05-17 00:00:00,Lake-Ruben,FM-Logup,,,211.5,17.7
2026-05-17 02:00:00,Lake-Ruben,FM-Logup,,,211,117.6
2026-05-17 04:00:00,Lake-Ruben,FM-Logup,,,210.5,17.5
